location,price,price_number,params,id,description,title,url,date,engine,mileage
"Чеченская Республика, Грозный",1 420 000₽,1 420 000,"208 000 км, 1.8 AT (156 л.с.), седан, задний, бензин",7767431345,"208 000 км, 1.8 AT (156 л.с.), седан, задний, бензин","Mercedes-Benz C-класс 1.8 AT, 2012, 208 000 км",https://www.avito.ru/groznyy/avtomobili/mercedes-benz_c-klass_1.8_at_2012_208_000_km_7767431345?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJQb3ladnkwQ2E0SDUyc0NTIjt92E9mLz8AAAA,,1.8 AT (156 л.с.),208 000 км
"Республика Адыгея, Гиагинский р-н, Гиагинское сельское поселение, станица Гиагинская",245 000₽,245 000,"330 000 км, 1.6 MT (101 л.с.), седан, передний, бензин",7763000213,"330 000 км, 1.6 MT (101 л.с.), седан, передний, бензин","Kia Spectra 1.6 MT, 2008, 330 000 км",https://www.avito.ru/giaginskaya/avtomobili/kia_spectra_1.6_mt_2008_330_000_km_7763000213?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJQb3ladnkwQ2E0SDUyc0NTIjt92E9mLz8AAAA,7 дней назад,1.6 MT (101 л.с.),330 000 км
"Владимирская обл., Муром",250 000₽,250 000,"150 000 км, 1.6 MT (98 л.с.), седан, передний, бензин",7744346385,"150 000 км, 1.6 MT (98 л.с.), седан, передний, бензин","ВАЗ (LADA) Priora 1.6 MT, 2010, 150 000 км",https://www.avito.ru/murom/avtomobili/vaz_lada_priora_1.6_mt_2010_150_000_km_7744346385?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJQb3ladnkwQ2E0SDUyc0NTIjt92E9mLz8AAAA,3 дня назад,1.6 MT (98 л.с.),150 000 км
"Нижегородская обл., Нижний Новгород",1 980 000₽,1 980 000,"92 636 км, 2.8 MT (150 л.с.), фургон, задний, дизель",7749169110,"92 636 км, 2.8 MT (150 л.с.), фургон, задний, дизель","ГАЗ ГАЗель Next 2.8 MT, 2021, 92 636 км",https://www.avito.ru/nizhniy_novgorod/avtomobili/gaz_gazel_next_2.8_mt_2021_92_636_km_7749169110?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJQb3ladnkwQ2E0SDUyc0NTIjt92E9mLz8AAAA,,2.8 MT (150 л.с.),92 636 км
"Ростовская обл., Волгодонск",1 450 000₽,1 450 000,"155 000 км, 1.6 AT (123 л.с.), седан, передний, бензин",7655562517,"155 000 км, 1.6 AT (123 л.с.), седан, передний, бензин","Hyundai Solaris 1.6 AT, 2018, 155 000 км",https://www.avito.ru/volgodonsk/avtomobili/hyundai_solaris_1.6_at_2018_155_000_km_7655562517?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJQb3ladnkwQ2E0SDUyc0NTIjt92E9mLz8AAAA,1 час назад,1.6 AT (123 л.с.),155 000 км
"Чувашская Республика, Новочебоксарск",350 000₽,350 000,"137 000 км, 1.6 MT (87 л.с.), хетчбэк, передний, бензин",7655261120,"137 000 км, 1.6 MT (87 л.с.), хетчбэк, передний, бензин","ВАЗ (LADA) Priora 1.6 MT, 2012, 137 000 км",https://www.avito.ru/novocheboksarsk/avtomobili/vaz_lada_priora_1.6_mt_2012_137_000_km_7655261120?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJQb3ladnkwQ2E0SDUyc0NTIjt92E9mLz8AAAA,1 час назад,1.6 MT (87 л.с.),137 000 км
"Республика Крым, Симферопольский р-н, Трудовское сельское поселение, СТ Автомобилист-Березка",500 000₽,500 000,"294 000 км, 2.0 MT (136 л.с.), внедорожник, передний, бензин",7677422903,"294 000 км, 2.0 MT (136 л.с.), внедорожник, передний, бензин","Chery Tiggo 5 2.0 MT, 2014, 294 000 км",https://www.avito.ru/simferopol/avtomobili/chery_tiggo_5_2.0_mt_2014_294_000_km_7677422903?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJQb3ladnkwQ2E0SDUyc0NTIjt92E9mLz8AAAA,,2.0 MT (136 л.с.),294 000 км
"Республика Татарстан, Чистопольский р-н, муниципальное образование Чистополь, Чистополь",389 000₽,389 000,"277 000 км, 1.6 MT (100 л.с.), хетчбэк, передний, бензин",7682753419,"277 000 км, 1.6 MT (100 л.с.), хетчбэк, передний, бензин","Ford Focus 1.6 MT, 2011, 277 000 км",https://www.avito.ru/chistopol/avtomobili/ford_focus_1.6_mt_2011_277_000_km_7682753419?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJQb3ladnkwQ2E0SDUyc0NTIjt92E9mLz8AAAA,,1.6 MT (100 л.с.),277 000 км
"Республика Карелия, Петрозаводский г.о., Петрозаводск",775 000₽,775 000,"59 000 км, 1.6 MT (82 л.с.), седан, передний, бензин",7677658853,"59 000 км, 1.6 MT (82 л.с.), седан, передний, бензин","Renault Logan 1.6 MT, 2017, 59 000 км",https://www.avito.ru/petrozavodsk/avtomobili/renault_logan_1.6_mt_2017_59_000_km_7677658853?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJQb3ladnkwQ2E0SDUyc0NTIjt92E9mLz8AAAA,7 дней назад,1.6 MT (82 л.с.),59 000 км
"Республика Адыгея (Адыгея), Майкоп",310 000₽,310 000,"270 000 км, 1.5 MT (70 л.с.), хетчбэк, передний, бензин",7678430595,"270 000 км, 1.5 MT (70 л.с.), хетчбэк, передний, бензин","ВАЗ (LADA) 2108 1.5 MT, 1998, 270 000 км",https://www.avito.ru/maykop/avtomobili/vaz_lada_2108_1.5_mt_1998_270_000_km_7678430595?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJQb3ladnkwQ2E0SDUyc0NTIjt92E9mLz8AAAA,1 час назад,1.5 MT (70 л.с.),270 000 км
Москва,265 000₽,265 000,"173 500 км, 1.4 MT (97 л.с.), хетчбэк, передний, бензин",7735113744,"173 500 км, 1.4 MT (97 л.с.), хетчбэк, передний, бензин","Hyundai Getz 1.4 MT, 2006, 173 500 км",https://www.avito.ru/moskva/avtomobili/hyundai_getz_1.4_mt_2006_173_500_km_7735113744?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJQb3ladnkwQ2E0SDUyc0NTIjt92E9mLz8AAAA,,1.4 MT (97 л.с.),173 500 км
"Новосибирская обл., Новосибирск",970 000₽,970 000,"21 000 км, 1.5 CVT (129 л.с.), минивэн, передний, бензин",7744008962,"21 000 км, 1.5 CVT (129 л.с.), минивэн, передний, бензин","Honda Freed 1.5 CVT, 2020, 21 000 км",https://www.avito.ru/novosibirsk/avtomobili/honda_freed_1.5_cvt_2020_21_000_km_7744008962?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJQb3ladnkwQ2E0SDUyc0NTIjt92E9mLz8AAAA,,1.5 CVT (129 л.с.),21 000 км
"Чеченская Республика, Гудермесский р-н, Гудермесское городское поселение, Гудермес",1 260 000₽,1 260 000,"49 000 км, 1.8 CVT (122 л.с.), седан, передний, бензин",7753522546,"49 000 км, 1.8 CVT (122 л.с.), седан, передний, бензин","ВАЗ (LADA) Vesta 1.8 CVT, 2024, 49 000 км",https://www.avito.ru/gudermes/avtomobili/vaz_lada_vesta_1.8_cvt_2024_49_000_km_7753522546?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJQb3ladnkwQ2E0SDUyc0NTIjt92E9mLz8AAAA,1 час назад,1.8 CVT (122 л.с.),49 000 км
"Удмуртская Республика, Ижевск",979 000₽,979 000,"134 689 км, 1.6 AT (110 л.с.), седан, передний, бензин",7798004026,"134 689 км, 1.6 AT (110 л.с.), седан, передний, бензин","Volkswagen Polo 1.6 AT, 2017, 134 689 км",https://www.avito.ru/izhevsk/avtomobili/volkswagen_polo_1.6_at_2017_134_689_km_7798004026?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJQb3ladnkwQ2E0SDUyc0NTIjt92E9mLz8AAAA,Вчера,1.6 AT (110 л.с.),134 689 км
"Псковская обл., Великие Луки",255 000₽,255 000,"185 500 км, 1.6 MT (115 л.с.), седан, передний, бензин",7610816150,"185 500 км, 1.6 MT (115 л.с.), седан, передний, бензин","Renault Megane 1.6 MT, 2007, 185 500 км",https://www.avito.ru/velikie_luki/avtomobili/renault_megane_1.6_mt_2007_185_500_km_7610816150?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJQb3ladnkwQ2E0SDUyc0NTIjt92E9mLz8AAAA,,1.6 MT (115 л.с.),185 500 км
"Ростовская обл., Шахты",545 000₽,545 000,"152 300 км, 1.4 MT (94 л.с.), хетчбэк, передний, бензин",7749850100,"152 300 км, 1.4 MT (94 л.с.), хетчбэк, передний, бензин","Chevrolet Lacetti 1.4 MT, 2011, 152 300 км",https://www.avito.ru/shahty/avtomobili/chevrolet_lacetti_1.4_mt_2011_152_300_km_7749850100?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJQb3ladnkwQ2E0SDUyc0NTIjt92E9mLz8AAAA,,1.4 MT (94 л.с.),152 300 км
"Ставропольский край, Ставрополь",1 250 000₽,1 250 000,"265 431 км, 2.2 AT (197 л.с.), внедорожник, полный, дизель",7737881339,"265 431 км, 2.2 AT (197 л.с.), внедорожник, полный, дизель","Hyundai Santa Fe 2.2 AT, 2010, 265 431 км",https://www.avito.ru/stavropol/avtomobili/hyundai_santa_fe_2.2_at_2010_265_431_km_7737881339?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJQb3ladnkwQ2E0SDUyc0NTIjt92E9mLz8AAAA,1 час назад,2.2 AT (197 л.с.),265 431 км
"Вологодская обл., Вологда",325 000₽,325 000,"245 000 км, 2.4 MT (146 л.с.), внедорожник, полный, бензин",7744340240,"245 000 км, 2.4 MT (146 л.с.), внедорожник, полный, бензин","Hyundai Santa Fe 2.4 MT, 2004, 245 000 км",https://www.avito.ru/vologda/avtomobili/hyundai_santa_fe_2.4_mt_2004_245_000_km_7744340240?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJQb3ladnkwQ2E0SDUyc0NTIjt92E9mLz8AAAA,3 дня назад,2.4 MT (146 л.с.),245 000 км
"Московская обл., Королёв",255 000₽,255 000,"267 170 км, 1.4 MT (94 л.с.), седан, передний, бензин",7675088786,"267 170 км, 1.4 MT (94 л.с.), седан, передний, бензин","Chevrolet Lacetti 1.4 MT, 2007, 267 170 км",https://www.avito.ru/korolev/avtomobili/chevrolet_lacetti_1.4_mt_2007_267_170_km_7675088786?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJQb3ladnkwQ2E0SDUyc0NTIjt92E9mLz8AAAA,,1.4 MT (94 л.с.),267 170 км
"Воронежская обл., Воронеж",690 000₽,690 000,"196 500 км, 1.6 CVT (117 л.с.), седан, передний, бензин",7675981922,"196 500 км, 1.6 CVT (117 л.с.), седан, передний, бензин","Nissan Sentra 1.6 CVT, 2016, 196 500 км",https://www.avito.ru/voronezh/avtomobili/nissan_sentra_1.6_cvt_2016_196_500_km_7675981922?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJQb3ladnkwQ2E0SDUyc0NTIjt92E9mLz8AAAA,,1.6 CVT (117 л.с.),196 500 км
"Чувашская Республика — Чувашия, Чебоксары",899 000₽,899 000,"307 000 км, 2.4 AT (167 л.с.), седан, передний, бензин",7652363118,"307 000 км, 2.4 AT (167 л.с.), седан, передний, бензин","Toyota Camry 2.4 AT, 2007, 307 000 км",https://www.avito.ru/cheboksary/avtomobili/toyota_camry_2.4_at_2007_307_000_km_7652363118?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJQb3ladnkwQ2E0SDUyc0NTIjt92E9mLz8AAAA,,2.4 AT (167 л.с.),307 000 км
Санкт-Петербург,180 000₽,180 000,"183 000 км, 1.6 MT (101 л.с.), хетчбэк, передний, бензин",7585566428,"183 000 км, 1.6 MT (101 л.с.), хетчбэк, передний, бензин","Audi A3 1.6 MT, 1998, 183 000 км",https://www.avito.ru/sankt-peterburg/avtomobili/audi_a3_1.6_mt_1998_183_000_km_7585566428?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJQb3ladnkwQ2E0SDUyc0NTIjt92E9mLz8AAAA,,1.6 MT (101 л.с.),183 000 км
Санкт-Петербург,2 650 000₽,2 650 000,"56 060 км, 2.0 AT (180 л.с.), седан, полный, дизель",7678665557,"56 060 км, 2.0 AT (180 л.с.), седан, полный, дизель","Jaguar XF 2.0 AT, 2018, 56 060 км",https://www.avito.ru/sankt-peterburg/avtomobili/jaguar_xf_2.0_at_2018_56_060_km_7678665557?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJQb3ladnkwQ2E0SDUyc0NTIjt92E9mLz8AAAA,1 час назад,2.0 AT (180 л.с.),56 060 км
"Чеченская Республика, Грозный",735 000₽,735 000,"209 752 км, 1.6 AMT (125 л.с.), седан, передний, бензин",7714481030,"209 752 км, 1.6 AMT (125 л.с.), седан, передний, бензин","Ford Focus 1.6 AMT, 2011, 209 752 км",https://www.avito.ru/groznyy/avtomobili/ford_focus_1.6_amt_2011_209_752_km_7714481030?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJQb3ladnkwQ2E0SDUyc0NTIjt92E9mLz8AAAA,,1.6 AMT (125 л.с.),209 752 км
"Москва, Троицкий административный округ, поселение Щаповское, коттеджный пос. Европейская Долина",1 850 000₽,1 850 000,"124 000 км, 1.4 AT (150 л.с.), лифтбек, передний, бензин",7684706758,"124 000 км, 1.4 AT (150 л.с.), лифтбек, передний, бензин","Skoda Octavia 1.4 AT, 2020, 124 000 км",https://www.avito.ru/moskovskaya_oblast_troitsk/avtomobili/skoda_octavia_1.4_at_2020_124_000_km_7684706758?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJQb3ladnkwQ2E0SDUyc0NTIjt92E9mLz8AAAA,,1.4 AT (150 л.с.),124 000 км
"Астраханская обл., Астрахань",349 000₽,349 000,"205 000 км, 1.6 MT (105 л.с.), седан, передний, бензин",7655736042,"205 000 км, 1.6 MT (105 л.с.), седан, передний, бензин","Hyundai Elantra 1.6 MT, 2005, 205 000 км",https://www.avito.ru/astrahan/avtomobili/hyundai_elantra_1.6_mt_2005_205_000_km_7655736042?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJQb3ladnkwQ2E0SDUyc0NTIjt92E9mLz8AAAA,7 дней назад,1.6 MT (105 л.с.),205 000 км
"Челябинская обл., Челябинский г.о.",290 000₽,290 000,"200 000 км, 1.6 MT (105 л.с.), хетчбэк, передний, бензин",7767008767,"200 000 км, 1.6 MT (105 л.с.), хетчбэк, передний, бензин","Opel Astra 1.6 MT, 2007, 200 000 км",https://www.avito.ru/chelyabinsk/avtomobili/opel_astra_1.6_mt_2007_200_000_km_7767008767?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJQb3ladnkwQ2E0SDUyc0NTIjt92E9mLz8AAAA,,1.6 MT (105 л.с.),200 000 км
"Краснодарский край, Краснодар",535 000₽,535 000,"180 000 км, 1.2 AMT (85 л.с.), хетчбэк, передний, бензин",7654599865,"180 000 км, 1.2 AMT (85 л.с.), хетчбэк, передний, бензин","Opel Corsa 1.2 AMT, 2011, 180 000 км",https://www.avito.ru/krasnodar/avtomobili/opel_corsa_1.2_amt_2011_180_000_km_7654599865?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJQb3ladnkwQ2E0SDUyc0NTIjt92E9mLz8AAAA,,1.2 AMT (85 л.с.),180 000 км
"Вологодская обл., Вологда",375 000₽,375 000,"212 000 км, 1.4 MT (94 л.с.), седан, передний, бензин",7665994413,"212 000 км, 1.4 MT (94 л.с.), седан, передний, бензин","Chevrolet Lacetti 1.4 MT, 2008, 212 000 км",https://www.avito.ru/vologda/avtomobili/chevrolet_lacetti_1.4_mt_2008_212_000_km_7665994413?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJQb3ladnkwQ2E0SDUyc0NTIjt92E9mLz8AAAA,,1.4 MT (94 л.с.),212 000 км
"Липецкая обл., Липецк",2 199 000₽,2 199 000,"83 900 км, 2.0 AT (150 л.с.), внедорожник, полный, бензин",7517161307,"83 900 км, 2.0 AT (150 л.с.), внедорожник, полный, бензин","Mazda CX-5 2.0 AT, 2019, 83 900 км",https://www.avito.ru/lipetsk/avtomobili/mazda_cx-5_2.0_at_2019_83_900_km_7517161307?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJQb3ladnkwQ2E0SDUyc0NTIjt92E9mLz8AAAA,,2.0 AT (150 л.с.),83 900 км
"Республика Адыгея, Кошехабльский р-н, Вольненское сельское поселение, с. Вольное",765 000₽,765 000,"163 946 км, 2.0 MT (150 л.с.), хетчбэк, передний, бензин",7702065051,"163 946 км, 2.0 MT (150 л.с.), хетчбэк, передний, бензин","Ford Focus 2.0 MT, 2012, 163 946 км",https://www.avito.ru/volnoe/avtomobili/ford_focus_2.0_mt_2012_163_946_km_7702065051?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJQb3ladnkwQ2E0SDUyc0NTIjt92E9mLz8AAAA,,2.0 MT (150 л.с.),163 946 км
