location,price,price_number,params,id,description,title,url,date,engine,mileage,brand,year,age
"Краснодарский край, Курганинский р-н, Курганинское городское поселение, Курганинск",599000.0,599 000,"145 000 км, 1.6 MT (106 л.с.), седан, передний, бензин",7694440136,"145 000 км, 1.6 MT (106 л.с.), седан, передний, бензин","ВАЗ (LADA) Vesta 1.6 MT, 2019, 145 000 км",https://www.avito.ru/kurganinsk/avtomobili/vaz_lada_vesta_1.6_mt_2019_145_000_km_7694440136?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJQb3ladnkwQ2E0SDUyc0NTIjt92E9mLz8AAAA,,1.6 MT (106 л.с.),145 000 км,Lada,2019,6
"Краснодарский край, Краснодар",750000.0,750 000,"181 000 км, 1.6 MT (106 л.с.), седан, передний, бензин",7696299040,"181 000 км, 1.6 MT (106 л.с.), седан, передний, бензин","ВАЗ (LADA) Priora 1.6 MT, 2018, 181 000 км",https://www.avito.ru/krasnodar/avtomobili/vaz_lada_priora_1.6_mt_2018_181_000_km_7696299040?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJQb3ladnkwQ2E0SDUyc0NTIjt92E9mLz8AAAA,,1.6 MT (106 л.с.),181 000 км,Lada,2018,7
"Тульская обл., Тула",915000.0,915 000,"67 000 км, 1.6 AT (115 л.с.), хетчбэк, передний, бензин",7467495807,"67 000 км, 1.6 AT (115 л.с.), хетчбэк, передний, бензин","Opel Astra 1.6 AT, 2014, 67 000 км",https://www.avito.ru/tula/avtomobili/opel_astra_1.6_at_2014_67_000_km_7467495807?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJQb3ladnkwQ2E0SDUyc0NTIjt92E9mLz8AAAA,,1.6 AT (115 л.с.),67 000 км,Opel,2014,11
"Самарская обл., Самара",549000.0,549 000,"208 500 км, 1.6 AT (105 л.с.), седан, передний, бензин",7798573479,"208 500 км, 1.6 AT (105 л.с.), седан, передний, бензин","Mazda 3 1.6 AT, 2008, 208 500 км",https://www.avito.ru/samara/avtomobili/mazda_3_1.6_at_2008_208_500_km_7798573479?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJQb3ladnkwQ2E0SDUyc0NTIjt92E9mLz8AAAA,Вчера,1.6 AT (105 л.с.),208 500 км,Mazda,2008,17
"Республика Коми, Сыктывкар",289000.0,289 000,"109 000 км, 1.4 MT (97 л.с.), хетчбэк, передний, бензин",7696800148,"109 000 км, 1.4 MT (97 л.с.), хетчбэк, передний, бензин","Hyundai Getz 1.4 MT, 2007, 109 000 км",https://www.avito.ru/syktyvkar/avtomobili/hyundai_getz_1.4_mt_2007_109_000_km_7696800148?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJQb3ladnkwQ2E0SDUyc0NTIjt92E9mLz8AAAA,,1.4 MT (97 л.с.),109 000 км,Hyundai,2007,18
Санкт-Петербург,1745000.0,1 745 000,"89 000 км, 2.0 CVT (146 л.с.), внедорожник, полный, бензин",7745595981,"89 000 км, 2.0 CVT (146 л.с.), внедорожник, полный, бензин","Mitsubishi Outlander 2.0 CVT, 2018, 89 000 км",https://www.avito.ru/sankt-peterburg/avtomobili/mitsubishi_outlander_2.0_cvt_2018_89_000_km_7745595981?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJQb3ladnkwQ2E0SDUyc0NTIjt92E9mLz8AAAA,,2.0 CVT (146 л.с.),89 000 км,Mitsubishi,2018,7
Санкт-Петербург,1830000.0,1 830 000,"127 000 км, 2.0 AMT (225 л.с.), лифтбек, полный, бензин",7698704369,"127 000 км, 2.0 AMT (225 л.с.), лифтбек, полный, бензин","Audi A5 2.0 AMT, 2014, 127 000 км",https://www.avito.ru/sankt-peterburg/avtomobili/audi_a5_2.0_amt_2014_127_000_km_7698704369?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJQb3ladnkwQ2E0SDUyc0NTIjt92E9mLz8AAAA,3 дня назад,2.0 AMT (225 л.с.),127 000 км,Audi,2014,11
"Краснодарский край, Краснодар",470000.0,470 000,"285 000 км, 2.0 CVT (145 л.с.), минивэн, передний, бензин",7656543105,"285 000 км, 2.0 CVT (145 л.с.), минивэн, передний, бензин","Nissan Serena 2.0 CVT, 2002, 285 000 км",https://www.avito.ru/krasnodar/avtomobili/nissan_serena_2.0_cvt_2002_285_000_km_7656543105?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJQb3ladnkwQ2E0SDUyc0NTIjt92E9mLz8AAAA,,2.0 CVT (145 л.с.),285 000 км,Nissan,2002,23
"Московская обл., Люберцы",450000.0,450 000,"258 093 км, 1.6 MT (84 л.с.), универсал, передний, бензин",7668331581,"258 093 км, 1.6 MT (84 л.с.), универсал, передний, бензин","ВАЗ (LADA) Largus 1.6 MT, 2013, 258 093 км",https://www.avito.ru/lyubertsy/avtomobili/vaz_lada_largus_1.6_mt_2013_258_093_km_7668331581?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJQb3ladnkwQ2E0SDUyc0NTIjt92E9mLz8AAAA,7 дней назад,1.6 MT (84 л.с.),258 093 км,Lada,2013,12
"Свердловская обл., Екатеринбург",539000.0,539 000,"117 729 км, 1.8 MT (128 л.с.), внедорожник, передний, бензин",7633449759,"117 729 км, 1.8 MT (128 л.с.), внедорожник, передний, бензин","LIFAN X60 1.8 MT, 2016, 117 729 км",https://www.avito.ru/ekaterinburg/avtomobili/lifan_x60_1.8_mt_2016_117_729_km_7633449759?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJQb3ladnkwQ2E0SDUyc0NTIjt92E9mLz8AAAA,,1.8 MT (128 л.с.),117 729 км,LIFAN,2016,9
