location,price,price_number,params,id,description,title,url,date,engine,mileage,brand,year,age
"Московская обл., Королёв",255000.0,255 000,"267 170 км, 1.4 MT (94 л.с.), седан, передний, бензин",7675088786,"267 170 км, 1.4 MT (94 л.с.), седан, передний, бензин","Chevrolet Lacetti 1.4 MT, 2007, 267 170 км",https://www.avito.ru/korolev/avtomobili/chevrolet_lacetti_1.4_mt_2007_267_170_km_7675088786?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJQb3ladnkwQ2E0SDUyc0NTIjt92E9mLz8AAAA,,1.4 MT (94 л.с.),267 170 км,Chevrolet,2007,18
"Воронежская обл., Воронеж",690000.0,690 000,"196 500 км, 1.6 CVT (117 л.с.), седан, передний, бензин",7675981922,"196 500 км, 1.6 CVT (117 л.с.), седан, передний, бензин","Nissan Sentra 1.6 CVT, 2016, 196 500 км",https://www.avito.ru/voronezh/avtomobili/nissan_sentra_1.6_cvt_2016_196_500_km_7675981922?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJQb3ladnkwQ2E0SDUyc0NTIjt92E9mLz8AAAA,,1.6 CVT (117 л.с.),196 500 км,Nissan,2016,9
"Чувашская Республика — Чувашия, Чебоксары",899000.0,899 000,"307 000 км, 2.4 AT (167 л.с.), седан, передний, бензин",7652363118,"307 000 км, 2.4 AT (167 л.с.), седан, передний, бензин","Toyota Camry 2.4 AT, 2007, 307 000 км",https://www.avito.ru/cheboksary/avtomobili/toyota_camry_2.4_at_2007_307_000_km_7652363118?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJQb3ladnkwQ2E0SDUyc0NTIjt92E9mLz8AAAA,,2.4 AT (167 л.с.),307 000 км,Toyota,2007,18
Санкт-Петербург,180000.0,180 000,"183 000 км, 1.6 MT (101 л.с.), хетчбэк, передний, бензин",7585566428,"183 000 км, 1.6 MT (101 л.с.), хетчбэк, передний, бензин","Audi A3 1.6 MT, 1998, 183 000 км",https://www.avito.ru/sankt-peterburg/avtomobili/audi_a3_1.6_mt_1998_183_000_km_7585566428?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJQb3ladnkwQ2E0SDUyc0NTIjt92E9mLz8AAAA,,1.6 MT (101 л.с.),183 000 км,Audi,1998,27
Санкт-Петербург,2650000.0,2 650 000,"56 060 км, 2.0 AT (180 л.с.), седан, полный, дизель",7678665557,"56 060 км, 2.0 AT (180 л.с.), седан, полный, дизель","Jaguar XF 2.0 AT, 2018, 56 060 км",https://www.avito.ru/sankt-peterburg/avtomobili/jaguar_xf_2.0_at_2018_56_060_km_7678665557?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJQb3ladnkwQ2E0SDUyc0NTIjt92E9mLz8AAAA,1 час назад,2.0 AT (180 л.с.),56 060 км,Jaguar,2018,7
"Чеченская Республика, Грозный",735000.0,735 000,"209 752 км, 1.6 AMT (125 л.с.), седан, передний, бензин",7714481030,"209 752 км, 1.6 AMT (125 л.с.), седан, передний, бензин","Ford Focus 1.6 AMT, 2011, 209 752 км",https://www.avito.ru/groznyy/avtomobili/ford_focus_1.6_amt_2011_209_752_km_7714481030?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJQb3ladnkwQ2E0SDUyc0NTIjt92E9mLz8AAAA,,1.6 AMT (125 л.с.),209 752 км,Ford,2011,14
"Москва, Троицкий административный округ, поселение Щаповское, коттеджный пос. Европейская Долина",1850000.0,1 850 000,"124 000 км, 1.4 AT (150 л.с.), лифтбек, передний, бензин",7684706758,"124 000 км, 1.4 AT (150 л.с.), лифтбек, передний, бензин","Skoda Octavia 1.4 AT, 2020, 124 000 км",https://www.avito.ru/moskovskaya_oblast_troitsk/avtomobili/skoda_octavia_1.4_at_2020_124_000_km_7684706758?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJQb3ladnkwQ2E0SDUyc0NTIjt92E9mLz8AAAA,,1.4 AT (150 л.с.),124 000 км,Skoda,2020,5
"Астраханская обл., Астрахань",349000.0,349 000,"205 000 км, 1.6 MT (105 л.с.), седан, передний, бензин",7655736042,"205 000 км, 1.6 MT (105 л.с.), седан, передний, бензин","Hyundai Elantra 1.6 MT, 2005, 205 000 км",https://www.avito.ru/astrahan/avtomobili/hyundai_elantra_1.6_mt_2005_205_000_km_7655736042?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJQb3ladnkwQ2E0SDUyc0NTIjt92E9mLz8AAAA,7 дней назад,1.6 MT (105 л.с.),205 000 км,Hyundai,2005,20
"Челябинская обл., Челябинский г.о.",290000.0,290 000,"200 000 км, 1.6 MT (105 л.с.), хетчбэк, передний, бензин",7767008767,"200 000 км, 1.6 MT (105 л.с.), хетчбэк, передний, бензин","Opel Astra 1.6 MT, 2007, 200 000 км",https://www.avito.ru/chelyabinsk/avtomobili/opel_astra_1.6_mt_2007_200_000_km_7767008767?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJQb3ladnkwQ2E0SDUyc0NTIjt92E9mLz8AAAA,,1.6 MT (105 л.с.),200 000 км,Opel,2007,18
"Краснодарский край, Краснодар",535000.0,535 000,"180 000 км, 1.2 AMT (85 л.с.), хетчбэк, передний, бензин",7654599865,"180 000 км, 1.2 AMT (85 л.с.), хетчбэк, передний, бензин","Opel Corsa 1.2 AMT, 2011, 180 000 км",https://www.avito.ru/krasnodar/avtomobili/opel_corsa_1.2_amt_2011_180_000_km_7654599865?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJQb3ladnkwQ2E0SDUyc0NTIjt92E9mLz8AAAA,,1.2 AMT (85 л.с.),180 000 км,Opel,2011,14
